run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
GFP_one_hot_fnn_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,GFP,fnn,one_hot,20,500,4,8
GFP_one_hot_fnn_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,GFP,fnn,one_hot,50,200,5,6
GFP_georgiev_rf_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,GFP,rf,georgiev,50,1000,1,3
GFP_one_hot_rf_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,GFP,rf,one_hot,100,100,4,3
YAP1_blosum50_svr_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,running,open,YAP1,svr,blosum50,10,3000,2,1
PHOT_one_hot_lightgbm_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,PHOT,lightgbm,one_hot,50,200,10,19
RASK_georgiev_linear_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,RASK,linear,georgiev,10,1000,9,16
PHOT_one_hot_svr_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,PHOT,svr,one_hot,100,100,3,40
GFP_georgiev_rf_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,GFP,rf,georgiev,100,200,10,2
GFP_blosum90_elastic_net_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run7,finished,success,GFP,elastic_net,blosum90,100,500,7,1
RASK_one_hot_lightgbm_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,RASK,lightgbm,one_hot,100,200,1,2
RASK_blosum90_lightgbm_nGain10_nStart100_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,RASK,lightgbm,blosum90,10,100,8,13
RASK_blosum50_elastic_net_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,RASK,elastic_net,blosum50,50,200,6,3
GFP_blosum50_linear_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,GFP,linear,blosum50,50,3000,8,4
RASK_blosum50_elastic_net_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,RASK,elastic_net,blosum50,20,500,7,14
YAP1_georgiev_svr_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,YAP1,svr,georgiev,20,200,8,7
PHOT_blosum90_lightgbm_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,PHOT,lightgbm,blosum90,100,3000,4,11
